ID,Union name,Establishment Date,Zip Code,Address,Telephone Number,long,lat
18015,日高中部広域連合,2002-04-12 00:00:00,560004,北海道日高郡新ひだか町静内緑町4丁目5番1号,0146425103,142.3746255,42.3389081
18023,北海道市町村総合事務組合,1952-08-01 00:00:00,600004,北海道札幌市中央区北4条西6丁目自治会館6階町村会内,0112417210,141.3461804,43.06545999999999
18031,南空知葬斎組合,1997-04-01 00:00:00,691292,北海道夕張郡由仁町新光200番地,0123833902,141.7903748,42.9996389
18040,桂沢水道企業団,1955-12-20 00:00:00,682102,北海道三笠市西桂沢408番地,0126768559,141.9733258,43.2596335
18058,北海道市町村備荒資金組合,1956-02-01 00:00:00,600004,北海道札幌市中央区北4条西6丁目自治会館5Ｆ,0112310634,141.3461804,43.06545999999999
18074,北海道市町村職員退職手当組合,1957-01-23 00:00:00,600004,北海道札幌市中央区北4条西6丁目2番地,0112321361,141.3469665,43.0652821
18104,北後志衛生施設組合,1961-09-26 00:00:00,460001,北海道余市郡余市町栄町150番地,0135224489,140.8396286,43.1950224
18121,空知中部広域連合,1998-07-06 00:00:00,790313,北海道奈井江町字奈井江10番地28,0125662152,141.8815145,43.4248409
18139,根室北部廃棄物処理広域連合,2002-07-19 00:00:00,860216,北海道野付郡別海町別海13番地の5,0153795550,145.1678818,43.3688345
18155,後志広域連合,2007-04-24 00:00:00,448588,北海道虻田郡倶知安町北1条東2丁目　後志合同庁舎車庫棟2階,0136558010,140.7565596,42.9021315
18163,とかち広域消防事務組合,2015-05-01 00:00:00,800016,北海道帯広市西６条南６丁目３番地１,0155260119,143.1948938,42.92496329999999
18198,名寄地区衛生施設事務組合,1964-01-13 00:00:00,960065,北海道名寄市字大橋140番地1,0165429090,142.4536194,44.3788939
18236,富良野広域連合,2008-09-01 00:00:00,760023,北海道富良野市栄町18番20号　富良野消防署内,0167391221,142.3906,43.340968
18244,釧路・根室広域地方税滞納整理機構,2007-04-01 00:00:00,858588,北海道釧路市浦見2丁目2番54号　釧路総合振興局庁舎内,0154439288,144.384933,42.97669399999999
18279,大雪浄化組合,1965-01-19 00:00:00,780310,北海道上川郡比布町基線14号,0166852580,142.518069,43.89646399999999
18295,日高東部衛生組合,1965-04-01 00:00:00,570024,北海道浦河郡浦河町築地1丁目3番1号,0146269001,142.7682444,42.1684647
18325,大雪地区広域連合,2003-07-22 00:00:00,711423,北海道上川郡東川町東町1丁目16番1号,0166823697,142.510174,43.6989077
18333,上川広域滞納整理機構,2009-02-23 00:00:00,798416,北海道旭川市永山6条19丁目,0166465191,142.4398331,43.8082854
18384,北空知衛生センター組合,1966-04-01 00:00:00,740028,北海道深川市一已町字一已1863番地,0164233584,142.0037828,43.7411108
18457,長幌上水道企業団,1966-11-02 00:00:00,691334,北海道夕張郡長沼町錦町北1丁目13番1号,0123825700,141.6876814,43.012555
18481,北しりべし廃棄物処理広域連合,2002-04-12 00:00:00,482673,北海道小樽市桃内2丁目111番地2,0134283753,140.904584,43.1874022
